,SPF,DKIM,DMARC,Vowel Ratio,Consonant Ratio,Sender, Return-Path, Sender-IP, Return-From, Avg UrlScanio score, Maliciousnes
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,pass,0,0,<no-reply@primevideo.com>, 20201205182752c0fcd0e5b063427b870dec2121f0p0eu-C3TNSY4SMN7DHP@bounces.primevideo.com,54.240.0.56,1,0,0
3,0,none,pass,0,0,oracle-acct_ww@oracle.com,bounce-66@pesharedservices-in-mx.appoci.oracle.com,130.35.20.251,1,0,0
4,1,1,1,0,0,<donotreply@elgiganten.dk>,,,1,0,0
5,0,0,pass,0,0,<notifications-noreply@linkedin.com>, s-4s3vde75mh53i780fstlriy4aa3uqmr3vq3agbp03zxcs7ds5gue43tw@bounce.linkedin.com,108.174.3.195,1,0,0
6,0,0,pass,0,0,<noreply@google.com>, 3svXKXwcKDs067Ax84Hz77z4x.v75tDzDBCC744xAD807C5t14.v75@scoutcamp.bounces.google.com,209.85.221.198,1,0,0
7,0,0,pass,0,0,<noreply@github.com>,bounces+848413-be21-augusttollerup=hotmail.com@sgmail.github.com,167.89.101.2,1,0,0
8,0,0,pass,0,0,<steviwonder@msn.com>,steviwonder@msn.com,40.92.91.100,1,0,0
9,0,0,pass,0,0,<info@soundboks.com>, bounces+13530344-af63-augusttollerup=hotmail.com@send.soundboks.com,168.245.31.178,1,0,0
10,none,0,none,0,0,<jon.tollerup@decisionfocus.com>,jon.tollerup@decisionfocus.com,40.107.22.101,1,0,0
11,0,0,pass,0,0,<nyhedsbrev@ms.dk>,bounce-mc.us4_8669825.211830-d6d1c23cb3@mail205.suw18.rsgsv.net,198.2.181.205,1,0,0
12,0,0,pass,0,0,<nyhedsbrev@ms.dk>,bounce-mc.us4_8669825.211834-d6d1c23cb3@mail226.sea51.mcsv.net,148.105.13.226,1,0,0
13,0,0,bestguesspass,0,0,<kristensen@tollerup.net>,kristensen@tollerup.net,40.107.3.96,1,0,0
14,temperror,0,pass,0,0,<lyngby@basecampstudent.com>,lyngby@basecampstudent.com,40.107.10.61,1,0,0
15,0,none,pass,0,0,<IM-246163512@survey.implement.dk>,IM-246163512@survey.implement.dk,217.195.184.68,1,0,0
16,0,0,pass,0,0,<no-reply@ing.dk>,bounce-mc.us6_14554559.229427-87abad66c5@mail103.us4.mcsv.net,205.201.128.103,1,0,0
17,0,0,pass,0,0,<no-reply@primevideo.com>, 20201205182752c0fcd0e5b063427b870dec2121f0p0eu-C3TNSY4SMN7DHP@bounces.primevideo.com,54.240.0.56,1,0,0
18,0,none,pass,0,0,oracle-acct_ww@oracle.com,bounce-66@pesharedservices-in-mx.appoci.oracle.com,130.35.20.251,1,0,0
19,1,1,1,0,0,<donotreply@elgiganten.dk>,,,1,0,0
20,0,0,pass,0,0,<notifications-noreply@linkedin.com>, s-4s3vde75mh53i780fstlriy4aa3uqmr3vq3agbp03zxcs7ds5gue43tw@bounce.linkedin.com,108.174.3.195,1,0,0
21,0,0,pass,0,0,<noreply@google.com>, 3svXKXwcKDs067Ax84Hz77z4x.v75tDzDBCC744xAD807C5t14.v75@scoutcamp.bounces.google.com,209.85.221.198,1,0,0
22,0,0,pass,0,0,<noreply@github.com>,bounces+848413-be21-augusttollerup=hotmail.com@sgmail.github.com,167.89.101.2,1,0,0
23,0,0,pass,0,0,<steviwonder@msn.com>,steviwonder@msn.com,40.92.91.100,1,0,0
24,0,0,pass,0,0,<info@soundboks.com>, bounces+13530344-af63-augusttollerup=hotmail.com@send.soundboks.com,168.245.31.178,1,0,0
25,none,0,none,0,0,<jon.tollerup@decisionfocus.com>,jon.tollerup@decisionfocus.com,40.107.22.101,1,0,0
26,0,0,pass,0,0,<nyhedsbrev@ms.dk>,bounce-mc.us4_8669825.211830-d6d1c23cb3@mail205.suw18.rsgsv.net,198.2.181.205,1,0,0
27,0,0,pass,0,0,<nyhedsbrev@ms.dk>,bounce-mc.us4_8669825.211834-d6d1c23cb3@mail226.sea51.mcsv.net,148.105.13.226,1,0,0
28,0,0,bestguesspass,0,0,<kristensen@tollerup.net>,kristensen@tollerup.net,40.107.3.96,1,0,0
29,temperror,0,pass,0,0,<lyngby@basecampstudent.com>,lyngby@basecampstudent.com,40.107.10.61,1,0,0
30,0,none,pass,0,0,<IM-246163512@survey.implement.dk>,IM-246163512@survey.implement.dk,217.195.184.68,1,0,0
31,0,0,pass,0,0,<no-reply@ing.dk>,bounce-mc.us6_14554559.229427-87abad66c5@mail103.us4.mcsv.net,205.201.128.103,1,0,0
